cities,population
Southfield,"73,208"

Albany,"73,179"

Apple Valley,"73,077"

Rock Hill,"73,068"

Pasco,"73,013"

Bismarck,"72,865"

New Britain,"72,710"

Waukesha,"72,489"

Jacksonville,"72,447"

Lafayette,"72,390"

Decatur,"72,174"

Pittsburg,"72,141"

Pawtucket,"72,001"

Flagstaff,"71,975"

Lauderhill,"71,970"

Gulfport,"71,822"

Redlands,"71,554"

Frederick,"71,408"

Passaic,"71,247"

Wilmington,"71,106"

Kissimmee,"71,104"

Lynwood,"71,099"

Maple Grove,"71,066"

South Jordan,"70,954"

Weston,"70,944"

Canton,"70,909"

Georgetown,"70,685"

North Richland Hills,"70,441"

Union City,"70,387"

St. Charles,"70,329"

Homestead,"69,907"

Walnut Creek,"69,773"

Woodbury,"69,756"

Davis,"68,986"

Mansfield,"68,928"

Marysville,"68,864"

Delray Beach,"68,749"

Gaithersburg,"68,710"

Mount Vernon,"68,703"

Palatine,"68,644"

Muncie,"68,625"

Eau Claire,"68,587"

Bossier City,"68,554"

Buckeye,"68,453"

Rockville,"68,401"

Broomfield,"68,341"

Yorba Linda,"68,229"

Greenville,"68,219"

Dothan,"68,202"

Daytona Beach,"68,055"

St. Cloud,"67,984"

Redondo Beach,"67,908"

Camarillo,"67,845"

Waterloo,"67,587"

Kenner,"67,451"

South San Francisco,"67,429"

Bayonne,"67,186"

Palo Alto,"67,178"

Victoria,"67,106"

Bowling Green,"67,067"

Portland,"66,882"

Yuba City,"66,860"

Jackson,"66,847"

Oshkosh,"66,665"

Eagan,"66,627"

Ames,"66,498"

Rogers,"66,430"

Lake Elsinore,"66,411"

Johnson City,"66,391"

Laguna Niguel,"66,334"

North Port,"66,300"

North Little Rock,"65,911"

Lodi,"65,884"

Alpharetta,"65,799"

Conway,"65,782"

Tamarac,"65,669"

Schenectady,"65,625"

West Des Moines,"65,608"

Shawnee,"65,513"

Madera,"65,508"

Harlingen,"65,467"

East Orange,"65,378"

San Clemente,"65,267"

Santa Cruz,"65,021"

Jupiter,"64,976"

Wellington,"64,848"

Rocklin,"64,838"

Youngstown,"64,604"

Blaine,"64,557"

Sammamish,"64,548"

Eden Prairie,"64,400"

Janesville,"64,359"

Redmond,"64,291"

Skokie,"63,978"

Auburn,"63,973"

Tulare,"63,855"

Lorain,"63,841"

Lakeville,"63,748"

Haverhill,"63,639"

Cheyenne,"63,624"

Pico Rivera,"63,522"

Pflugerville,"63,359"

Eastvale,"63,211"

Port Orange,"63,203"

Montebello,"63,192"

Encinitas,"63,184"

San Marcos,"63,071"

Rowlett,"62,868"

Lehi,"62,712"

Coon Rapids,"62,656"

Grand Junction,"62,475"

La Habra,"62,466"

Waltham,"62,442"

Brentwood,"62,433"

Ankeny,"62,416"

Springfield,"62,353"

Council Bluffs,"62,316"

Castle Rock,"62,276"

North Miami,"62,225"

Hamilton,"62,092"

Noblesville,"61,882"

Moore,"61,523"

Burnsville,"61,439"

National City,"61,363"

Taylor,"61,276"

Malden,"61,246"

Doral,"61,130"

Idaho Falls,"61,076"

Marietta,"61,048"

Monterey Park,"61,044"

Coconut Creek,"61,010"

Dublin,"60,939"

Petaluma,"60,870"

Cupertino,"60,777"

Terre Haute,"60,774"

Utica,"60,635"

Vineland,"60,392"

Lakewood,"60,296"

Gardena,"60,224"

Bristol,"60,223"

Millcreek,"60,192"

La Mesa,"60,021"

Woodland,"60,012"

Taylorsville,"59,992"

West Allis,"59,934"

Meriden,"59,927"

Chapel Hill,"59,862"

Pontiac,"59,792"

Novi,"59,715"

Lancaster,"59,708"

St. Clair Shores,"59,635"

Owensboro,"59,404"

Sanford,"59,317"

Springfield,"59,208"

Porterville,"59,145"

Royal Oak,"59,112"

Ocala,"59,110"

Bartlett,"59,102"

San Rafael,"59,070"

White Plains,"59,047"

Great Falls,"58,876"

Bowie,"58,859"

Huntington Park,"58,822"

Arcadia,"58,799"

Orland Park,"58,765"

Margate,"58,430"

Dubuque,"58,276"

Des Plaines,"58,193"

Santee,"58,113"

Corvallis,"57,961"

Kokomo,"57,836"

Casper,"57,814"

Medford,"57,797"

Gilroy,"57,664"

Hendersonville,"57,517"

Greenwood,"57,375"

Midwest City,"57,308"

St. Peters,"57,178"

Taunton,"57,139"

New Brunswick,"57,073"

Grand Forks,"57,056"

Sarasota,"56,994"

Smyrna,"56,685"

Tinley Park,"56,668"

Diamond Bar,"56,665"

Weymouth Town,"56,664"

Bradenton,"56,508"

Hanford,"56,499"

Fountain Valley,"56,313"

Richland,"56,243"

Huntersville,"56,212"

Shoreline,"56,189"

Bonita Springs,"56,088"

Oak Lawn,"56,087"

Valdosta,"56,085"

Novato,"55,980"

Commerce City,"55,923"

Hempstead,"55,806"

Dearborn Heights,"55,758"

Berwyn,"55,550"

Chicopee,"55,515"

Port Arthur,"55,498"

Casa Grande,"55,477"

Highland,"55,342"

Pocatello,"55,193"

Kettering,"55,175"

Euless,"55,174"

Hoboken,"55,131"

Anderson,"55,076"

Palm Beach Gardens,"55,036"

Blue Springs,"54,945"

Paramount,"54,909"

West Haven,"54,843"

Manhattan,"54,832"

Colton,"54,828"

Carson City,"54,745"

Caldwell,"54,660"

Cathedral City,"54,596"

Rosemead,"54,554"

Rocky Mount,"54,523"

Stonecrest,"54,471"

Lake Havasu City,"54,411"

Decatur,"54,405"

Normal,"54,284"

West New York,"54,227"

Leesburg,"54,215"

Harrisonburg,"54,215"

Parker,"54,202"

Watsonville,"54,098"

Southaven,"54,031"

Revere,"53,993"

Grapevine,"53,982"

Mount Prospect,"53,930"

Elyria,"53,883"

Yucaipa,"53,683"

DeSoto,"53,568"

Lenexa,"53,553"

Brookhaven,"53,518"

West Sacramento,"53,512"

Albany,"53,503"

Bellevue,"53,424"

Kingsport,"53,374"

Wheaton,"53,373"

Tigard,"53,148"

Delano,"53,138"

Minnetonka,"53,085"

Burlington,"53,077"

Peabody,"52,987"

Milford,"52,970"

Palm Desert,"52,932"

Pinellas Park,"52,854"

Perth Amboy,"52,823"

Pensacola,"52,590"

Elkhart,"52,558"

Glendora,"52,445"

Apple Valley,"52,435"

Joplin,"52,288"

Oak Park,"52,261"

Placentia,"52,157"

Edina,"51,958"

La Crosse,"51,834"

Kentwood,"51,747"

Burien,"51,671"

Aliso Viejo,"51,671"

Olympia,"51,609"

Hoffman Estates,"51,567"

Apopka,"51,564"

Florissant,"51,443"

Grand Island,"51,390"

Plainfield,"51,327"

Battle Creek,"51,286"

St. Cloud,"51,282"

Logan,"51,115"

Coral Gables,"51,095"

Cerritos,"51,020"

Coeur d'Alene,"50,665"

Galveston,"50,497"

Apex,"50,451"

